"Species","CLIMATE","REALM","TAXA","StudyMethod","ABUNDANCE_TYPE","BIOMASS_TYPE","ObsEventID","rarefyID","STUDY_ID","YEAR","PLOT","cell","Abundance","Biomass"
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_695274__2000","172_695274",172,2000,"",695274,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693814__2000","172_693814",172,2000,"",693814,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693814__2000","172_693814",172,2000,"",693814,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693817__2000","172_693817",172,2000,"",693817,73,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694547__2000","172_694547",172,2000,"",694547,73,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694547__2000","172_694547",172,2000,"",694547,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693818__2000","172_693818",172,2000,"",693818,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694547__2003","172_694547",172,2003,"",694547,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693818__2003","172_693818",172,2003,"",693818,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_707692__2009","172_707692",172,2009,"",707692,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_707694__2009","172_707694",172,2009,"",707694,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_695274__2000","172_695274",172,2000,"",695274,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694546__2000","172_694546",172,2000,"",694546,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694546__2000","172_694546",172,2000,"",694546,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_695280__2000","172_695280",172,2000,"",695280,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693817__2000","172_693817",172,2000,"",693817,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693818__2000","172_693818",172,2000,"",693818,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_692358__2000","172_692358",172,2000,"",692358,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_692358__2000","172_692358",172,2000,"",692358,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_695274__2001","172_695274",172,2001,"",695274,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693087__2002","172_693087",172,2002,"",693087,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_707692__2000","172_707692",172,2000,"",707692,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_707692__2000","172_707692",172,2000,"",707692,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_707692__2000","172_707692",172,2000,"",707692,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_707692__2000","172_707692",172,2000,"",707692,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_706962__2000","172_706962",172,2000,"",706962,18,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_706963__2000","172_706963",172,2000,"",706963,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_707693__2000","172_707693",172,2000,"",707693,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_706962__2000","172_706962",172,2000,"",706962,73,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_707693__2000","172_707693",172,2000,"",707693,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693087__2000","172_693087",172,2000,"",693087,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_692358__2000","172_692358",172,2000,"",692358,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_692358__2000","172_692358",172,2000,"",692358,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_692359__2000","172_692359",172,2000,"",692359,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693818__2000","172_693818",172,2000,"",693818,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693818__2000","172_693818",172,2000,"",693818,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693087__2000","172_693087",172,2000,"",693087,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693086__2000","172_693086",172,2000,"",693086,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693087__2000","172_693087",172,2000,"",693087,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693087__2000","172_693087",172,2000,"",693087,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_706230__2001","172_706230",172,2001,"",706230,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_706963__2000","172_706963",172,2000,"",706963,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_691625__2000","172_691625",172,2000,"",691625,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694543__2001","172_694543",172,2001,"",694543,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_695275__2001","172_695275",172,2001,"",695275,73,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693813__2001","172_693813",172,2001,"",693813,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_691626__2004","172_691626",172,2004,"",691626,18,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_692363__2004","172_692363",172,2004,"",692363,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_691629__2006","172_691629",172,2006,"",691629,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_692353__2006","172_692353",172,2006,"",692353,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_695281__2006","172_695281",172,2006,"",695281,18,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_695281__2006","172_695281",172,2006,"",695281,7,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693809__2000","172_693809",172,2000,"",693809,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693088__2000","172_693088",172,2000,"",693088,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693088__2000","172_693088",172,2000,"",693088,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_691626__2007","172_691626",172,2007,"",691626,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693082__2004","172_693082",172,2004,"",693082,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_692350__2005","172_692350",172,2005,"",692350,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_694545__2000","172_694545",172,2000,"",694545,18,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693816__2000","172_693816",172,2000,"",693816,2,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693816__2000","172_693816",172,2000,"",693816,88,0
"ITIS:554270","Temperate","Marine","All","ML","Count","","172_693086__2000","172_693086",172,2000,"",693086,73,0
